Abundance	Risk	cell
0.563748927742215	High	CD274
0.280235442992391	High	CD274
1.23565686005072	High	CD274
0.351034176700024	High	CD274
0.490133019472566	High	CD274
0.571322053863726	High	CD274
0.288873495413347	High	CD274
0.566891926232666	High	CD274
0.407171929547392	High	CD274
0.263466475499655	High	CD274
0.234225381191041	High	CD274
0.759927032472398	High	CD274
0.242835214044301	High	CD274
0.0748672190265676	High	CD274
0.523810686746833	High	CD274
1.9266527540076	High	CD274
1.99910877347007	High	CD274
0.340320483067672	High	CD274
0.452446260896553	High	CD274
2.09578586645079	High	CD274
0.7703054651222	High	CD274
0.320398803951774	High	CD274
0.44349806617937	High	CD274
0.568524992972122	High	CD274
0.422708127487685	High	CD274
1.26896695053228	High	CD274
0.321053337812433	High	CD274
0.438926689294543	High	CD274
0.36698309195245	High	CD274
0.605570505463702	High	CD274
0.520497792464827	High	CD274
0.697649555369911	High	CD274
0.0678551338326179	High	CD274
0.11014286281634	High	CD274
0.681071562120336	High	CD274
0.142483497106266	High	CD274
0.243566177649606	High	CD274
0.238362835857293	High	CD274
0.679301495837688	High	CD274
0.611323117561318	High	CD274
0.543055354688289	High	CD274
0.547715014106578	High	CD274
0.0813255726306622	High	CD274
0.372294257198151	High	CD274
0.222434693723448	High	CD274
0.86332112087276	High	CD274
0.825263678569722	High	CD274
0.447273019195689	High	CD274
0.659363465787852	High	CD274
0.547206286122736	High	CD274
0.818979181371457	High	CD274
0.651102252854882	High	CD274
0.34748446440044	High	CD274
0.36906263025278	High	CD274
0.186828753820971	High	CD274
1.5331607042637	Low	CTLA4
0.216298341887352	Low	CTLA4
0.242709271355521	Low	CTLA4
0.0269516425451182	Low	CTLA4
0.707541363664312	Low	CTLA4
1.30877627885658	Low	CTLA4
0.214987886173412	Low	CTLA4
0.432025121699367	Low	CTLA4
0.426900960709747	Low	CTLA4
0.157874952132538	Low	CTLA4
0.335681838263556	Low	CTLA4
0.952977956106178	Low	CTLA4
0.531002419955886	Low	CTLA4
0.319756984675312	Low	CTLA4
0.48603418584624	Low	CTLA4
0.240397561402436	Low	CTLA4
0.241777466184942	Low	CTLA4
0.0800656693169321	Low	CTLA4
0.211996380266138	Low	CTLA4
0.0743425687491007	Low	CTLA4
0.110912135798649	Low	CTLA4
0.440662942243552	Low	CTLA4
0.0684767558934998	Low	CTLA4
0.582038434720812	Low	CTLA4
0.764011699276715	Low	CTLA4
0	Low	CTLA4
0.0808577871718062	Low	CTLA4
0.221103453055099	Low	CTLA4
0.595743762096542	Low	CTLA4
0.391748836953435	Low	CTLA4
0.374712636109043	Low	CTLA4
0.0277040477717326	Low	CTLA4
0.0118421328358875	Low	CTLA4
0.029951304400574	Low	CTLA4
0.266982664420271	Low	CTLA4
0.37271478661851	Low	CTLA4
0.0913955946034877	Low	CTLA4
0.0962321453558982	Low	CTLA4
0.0222003092501687	Low	CTLA4
0.199000804194681	Low	CTLA4
0.0646874979241052	Low	CTLA4
0.253029603601809	Low	CTLA4
1.77221497423792	Low	CTLA4
0.280328753305078	Low	CTLA4
0.821649796397267	Low	CTLA4
0.0934004267630778	Low	CTLA4
0.175146616164673	Low	CTLA4
0.0318605552551125	Low	CTLA4
0.0239091332280638	Low	CTLA4
0.240214890238687	Low	CTLA4
0	Low	CTLA4
0	Low	CTLA4
0.57413148786269	Low	CTLA4
0.0898494470221337	Low	CTLA4
0.892114475808815	Low	CTLA4
0.0378560653431161	Low	CTLA4
0.865327688561835	Low	CTLA4
0.0150506214744198	Low	CTLA4
0.102231805692319	Low	CTLA4
0.200201430874718	Low	CTLA4
0	Low	CTLA4
0.495133190067683	Low	CTLA4
0.17468229098713	Low	CTLA4
0.369910674689163	Low	CTLA4
0.0593846160915598	Low	CTLA4
0.0534617671367924	Low	CTLA4
0.0153711626617897	Low	CTLA4
0.764611430303193	Low	CTLA4
0.335231355509211	Low	CTLA4
0.538559223924387	Low	CTLA4
0.121014935808551	Low	CTLA4
2.26602065087635	Low	CTLA4
0.242423307036354	Low	CTLA4
0.234464760054537	Low	CTLA4
0.140048643443282	Low	CTLA4
0.0540481072817692	Low	CTLA4
