id	CD274	CTLA4	HAVCR2	LAG3	PDCD1	PDCD1LG2	TIGIT
TCGA-DD-AACV-01A-11R-A41C-07	0.365291938397883	0.0186124336923481	0.414545711868238	0.849349527456556	0.0552855807861479	0.419590885039719	0.0637706857207709
TCGA-DD-AACW-01A-11R-A41C-07	0.130666482252704	0.133893420847141	0.596340402738744	1.603563683812	0.654733440593386	0.267129777295701	0.257698263556974
TCGA-DD-AACX-01A-11R-A41C-07	0.438686354621417	0.120735332918215	0.678051502302064	0.489226563996096	0.433116069561857	0.108686754710765	0.125841365144737
TCGA-DD-AACY-01A-11R-A41C-07	0.173996398186099	0.0503032046033782	0.653946218346369	0.413919340386493	0.236236849716375	0.14191916872245	0.0989741737173255
TCGA-DD-AACZ-01A-11R-A41C-07	0.876498999048487	1.86179059096071	3.18543325084246	2.55760376876946	1.56417486362165	1.71498642804832	1.72213384928231
TCGA-DD-AAD0-01A-11R-A41C-07	0.373588059769806	0.0287050522722243	0.641532718309209	1.27618832160323	0.0287857161490371	0.100381622710191	0.0348930426268493
TCGA-DD-AAD1-01A-11R-A41C-07	0.715640023319409	0.743777177769522	1.53561396583253	0.910290003939508	3.94196374417944	0.728400850871976	1.03736082831826
TCGA-DD-AAD2-01A-11R-A41C-07	0.648692142189478	0.591494813536736	1.63279664117996	0.731431846847176	1.02068884106794	0.93252227138965	0.270843463814649
TCGA-DD-AAD3-01A-11R-A41C-07	0.302504964104602	0.33003496141193	1.20110247057699	0.440028897759661	0.448307085870278	0.432527718438329	0.218478012728694
TCGA-DD-AAD5-01A-11R-A41C-07	0.835500029950183	0.12788336804166	1.97033655515619	1.0388041110123	0.234635831457823	0.330639522278474	0.0770291595966658
TCGA-DD-AAD6-01A-11R-A41C-07	0.13016984543925	0.370438280750809	0.785739375661963	0.311689804297748	0.0519943580936227	0.0692945590786483	0.0452207609278752
TCGA-DD-AAD8-01A-11R-A41C-07	0.330032813095414	0.27206273060618	1.17922309547282	1.24056426376793	0.239242220295937	0.520124591028589	0.188590996562998
TCGA-DD-AADA-01A-11R-A41C-07	0.188376421518221	0.407293960795344	0.593608688447986	1.74004768326042	0.525345087025536	0.293451462504882	0.507614643733188
TCGA-DD-AADB-01A-11R-A41C-07	0.664014330474805	1.6900880612462	1.72718669155294	2.69596008071103	2.85159594671268	0.710774128343927	1.7246772097932
TCGA-DD-AADC-01A-11R-A41C-07	0.372657316058039	0.665897585082106	1.27464868913942	0.806991193654378	0.519466558932796	0.428587740500546	0.367496701095943
TCGA-DD-AADD-01A-11R-A41C-07	0.313088300499964	0.438390981450834	0.997012286569081	1.17345150343473	1.0078158785516	0.40987932520155	0.471678147584482
TCGA-DD-AADF-01A-11R-A41C-07	0.293632429339644	0.889357489455606	0.727947058239013	1.85364716002475	1.55310478162141	0.177207506348934	0.49555760802966
TCGA-DD-AADG-01A-11R-A41C-07	0.256974361646972	0.0269983267369486	0.23106949065508	0.422999979169156	0.105375718116448	0.246425518501933	0.0694418684507974
TCGA-DD-AADI-01A-11R-A41C-07	0.462499369100943	0.56227012665648	1.37137452312361	1.20561113102111	0.765050553016192	0.64402099481307	0.543179440761298
