Abundance	cluster	gene
3.65901002910219	Tumor	TXNRD1
4.24891124785703	Tumor	TXNRD1
4.53214799077107	Tumor	TXNRD1
4.06826666188762	Tumor	TXNRD1
6.23442755146539	Tumor	TXNRD1
7.12549406283434	Tumor	TXNRD1
4.00323701951759	Tumor	TXNRD1
6.32367234037518	Tumor	TXNRD1
2.71174597981636	Tumor	TXNRD1
3.47499665789261	Tumor	TXNRD1
4.91088661150386	Tumor	TXNRD1
4.92649051567431	Tumor	TXNRD1
3.78852180613585	Tumor	TXNRD1
4.77294028245784	Tumor	TXNRD1
3.6595592729109	Tumor	TXNRD1
5.38016595885776	Tumor	TXNRD1
3.53498914241925	Tumor	TXNRD1
4.17403403114658	Tumor	TXNRD1
5.16075605292736	Tumor	TXNRD1
4.62931698185315	Tumor	TXNRD1
4.99968167028957	Tumor	TXNRD1
3.97486149790471	Tumor	TXNRD1
2.35780983692516	Tumor	TXNRD1
3.15753595392944	Tumor	TXNRD1
2.89604006883732	Tumor	TXNRD1
6.12583704658925	Tumor	TXNRD1
2.57027201632347	Tumor	TXNRD1
6.11293986706347	Tumor	TXNRD1
6.43848332399367	Tumor	TXNRD1
2.5061743609828	Tumor	TXNRD1
3.35125262546343	Tumor	TXNRD1
5.61331476089008	Tumor	TXNRD1
2.12232152642853	Tumor	TXNRD1
2.37994777696791	Tumor	TXNRD1
3.32622898801819	Tumor	TXNRD1
4.63432840156567	Tumor	TXNRD1
4.0141963735084	Tumor	TXNRD1
4.37126820346389	Tumor	TXNRD1
5.36752029019397	Tumor	TXNRD1
5.47476796121387	Tumor	TXNRD1
6.09770327951532	Tumor	TXNRD1
5.11771581865842	Tumor	TXNRD1
3.34449888304848	Tumor	TXNRD1
2.50175962353203	Tumor	TXNRD1
5.45783065070917	Tumor	TXNRD1
5.22715112581373	Tumor	TXNRD1
3.38730421970284	Tumor	TXNRD1
5.13585865181058	Tumor	TXNRD1
3.68338542737647	Tumor	TXNRD1
6.67425583715087	Tumor	TXNRD1
2.38241742217482	Tumor	TXNRD1
3.5651145721405	Tumor	TXNRD1
6.26034864494579	Tumor	TXNRD1
5.6306911513341	Tumor	TXNRD1
6.44164797116971	Tumor	TXNRD1
4.55447404541927	Tumor	TXNRD1
5.54437379190699	Tumor	TXNRD1
3.04404503236397	Tumor	TXNRD1
3.12539288771503	Tumor	TXNRD1
5.57827335050844	Tumor	TXNRD1
4.71589117466307	Tumor	TXNRD1
5.26763841602894	Tumor	TXNRD1
3.24437411116401	Tumor	TXNRD1
5.51988373047101	Tumor	TXNRD1
5.33242545278959	Tumor	TXNRD1
2.97247228158762	Tumor	TXNRD1
3.45182446482742	Tumor	TXNRD1
6.13659212482878	Tumor	TXNRD1
4.68489782558787	Tumor	TXNRD1
2.75108832309983	Tumor	TXNRD1
4.34815379418366	Tumor	TXNRD1
3.1932507023883	Tumor	TXNRD1
4.01629662510165	Tumor	TXNRD1
3.78330577640142	Tumor	TXNRD1
3.97597587079105	Tumor	TXNRD1
4.99137309059602	Tumor	TXNRD1
2.52259163695003	Tumor	TXNRD1
4.0566355476824	Tumor	TXNRD1
5.39027662754384	Tumor	TXNRD1
2.93470387936823	Tumor	TXNRD1
4.0227051422749	Tumor	TXNRD1
3.22014449782482	Tumor	TXNRD1
7.29413915756336	Tumor	TXNRD1
3.35957654951338	Tumor	TXNRD1
5.61085623935491	Tumor	TXNRD1
7.39557783335854	Tumor	TXNRD1
3.30612630613261	Tumor	TXNRD1
2.97596926963454	Tumor	TXNRD1
