Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
UBE2M	1.09550561299305	4.73751149001995	12.3748939929293	3.35316829610516e-30	2.12298542480586e-28	57.7421084902212
TMEM250	1.05682081105314	3.35034316088095	12.3726567019155	3.42232029212559e-30	2.16306994845986e-28	57.7218754568937
SPATS2	1.11323818907042	1.59903986810283	12.3703556607796	3.49492457182794e-30	2.20519618894997e-28	57.7010676629994
NPY1R	-1.05950622271606	0.630375307350986	-12.3685540948189	3.55283805427509e-30	2.23792543969797e-28	57.6847777605972
MANF	1.4555331581773	5.16741347748363	12.3616975628637	3.78212539128663e-30	2.36625608517693e-28	57.6227905057428
AKR1C3	1.91127526386737	5.81248890451397	12.3438750679491	4.44942099074685e-30	2.74764397706823e-28	57.4617388094986
NFKBIL1	1.15393600808901	3.77321596947678	12.3397883220641	4.61825930178636e-30	2.84610795373649e-28	57.4248244341538
GAS5	1.96553624798069	4.44303027113366	12.3274526347362	5.16757268993783e-30	3.16357945933747e-28	57.3134342788301
TOMM40	1.22453682959549	4.00030787684621	12.324627367217	5.30227349117087e-30	3.24068656049483e-28	57.2879296653666
HSPB1	1.94895992029317	7.77872562863159	12.3186706282227	5.59784113661372e-30	3.41569752912519e-28	57.2341651619308
WFS1	1.22880365447949	3.04023933210589	12.2858674993176	7.54503379737763e-30	4.55877588559988e-28	56.9383072578322
SUV39H1	1.0378690886094	2.29344603445161	12.2789505131211	8.03484453309933e-30	4.84681713056894e-28	56.8759687209822
PCBP4	1.2492216437279	2.68714257436123	12.274091999178	8.39769914381886e-30	5.04925293650589e-28	56.8321917670101
GOLPH3L	1.17420876737571	2.81442434100557	12.2581385189389	9.70788892629744e-30	5.77144125284438e-28	56.6885023870455
FAM193B	1.01047263312802	2.30646811014105	12.2485741237214	1.05890030731026e-29	6.28518422790983e-28	56.6024001712713
TRIM65	1.06702948391664	2.05767416122021	12.2480501398738	1.06395125151532e-29	6.30506023257988e-28	56.5976839890569
PCNA	1.49065690890465	5.17138255651952	12.2446118701609	1.09769495844392e-29	6.49463672058243e-28	56.5667397689375
RBM42	1.07942577554205	5.0709854847011	12.2392307997269	1.15265717458643e-29	6.79810771215478e-28	56.5183186742341
GPATCH4	1.13335597092123	2.9502035711133	12.2284077586009	1.27164019924223e-29	7.44060184826757e-28	56.4209588721036
ZWINT	1.91229620065713	2.50546959179095	12.226449504286	1.29443952330271e-29	7.55840961059471e-28	56.4033475321469
SLC39A1	1.23017179023592	5.26108697792482	12.2097570220754	1.50606583476452e-29	8.70228804805119e-28	56.2532796765552
CBX3	1.04222675923974	4.24889706450528	12.2050782415276	1.57133635823118e-29	9.02312496684751e-28	56.2112341570976
CAP2	1.85128587053961	2.69969420133325	12.1895592108125	1.80867368589297e-29	1.02902697354998e-27	56.0718281916465
IPO9	1.01065651665274	2.55104700921741	12.1697576059722	2.16400042070547e-29	1.21994288557214e-27	55.8940745481194
CLTRN	-2.05274057543387	1.63997046665512	-12.1646931278261	2.26553579369497e-29	1.27330674851099e-27	55.848634168708
DYNLRB1	1.15470588572443	4.91112437360722	12.1546246629592	2.48169715698087e-29	1.38221201955275e-27	55.758322917812
FOS	-2.81532420810817	3.84618716684785	-12.1485820050533	2.62116504377815e-29	1.45333399538106e-27	55.7041391215963
HEIH	1.04394874352269	3.54703098760127	12.1479867242477	2.63531976941508e-29	1.45899811090577e-27	55.6988020047189
MAST2	1.07316731988803	2.04119970321348	12.1464241843971	2.67283735262579e-29	1.4753584182795e-27	55.6847933145142
ZNF706	1.10305375467934	3.07917873047064	12.1431111446989	2.75415406329066e-29	1.51572597616879e-27	55.6550936553336
MSH2	1.17740903683536	1.99788539616593	12.1374138836728	2.89979147573338e-29	1.59114780264019e-27	55.6040297530323
RACGAP1	1.48077761291025	1.78704208329364	12.1257854980332	3.22127064072418e-29	1.7560142151469e-27	55.4998414079903
MAST3	1.00777596628739	2.07378116250428	12.1254262754714	3.23174752498709e-29	1.7560142151469e-27	55.4966235960087
TBC1D13	1.16116963178595	2.94257762217824	12.1252391313009	3.23721910263234e-29	1.7560142151469e-27	55.4949472306427
FAM180A	-1.23499347767978	0.630603310383693	-12.1240680841598	3.27166734679953e-29	1.77157916945557e-27	55.4844577227904
ZNF581	1.29876796753368	2.76320376546525	12.1109367090632	3.6838609356501e-29	1.98318083335186e-27	55.366868309604
SLC12A7	1.20261241832087	4.26223866644392	12.1025932044631	3.97222382091909e-29	2.13222066491596e-27	55.2921852751308
CD2BP2	1.01085201408373	3.57174801472317	12.0995902207195	4.08142138557914e-29	2.18135187992901e-27	55.2653114964889
KDM8	-1.92275926986492	2.15305550665006	-12.0990489863485	4.10141782881272e-29	2.18807886516761e-27	55.2604683168024
MPV17	1.0547610295656	2.26034832374569	12.0989301003959	4.10582323908281e-29	2.18807886516761e-27	55.2594044921119
CANT1	1.07431274862665	3.27627748490807	12.0950696626566	4.25146403277328e-29	2.2624385753715e-27	55.2248629465257
IRF3	1.13292799641752	3.79499486744453	12.0910567444403	4.40831173858338e-29	2.34254017465784e-27	55.1889626861166
PSMG3	1.29950791598095	3.49446313994017	12.0886825045757	4.50380964702633e-29	2.38985819063841e-27	55.1677250224177
LPA	-1.88115769697049	1.96448635398693	-12.0843791752948	4.68218069313233e-29	2.47035054860734e-27	55.1292366956476
PCED1A	1.19582380580406	3.48916789806822	12.0769927978846	5.00489098317245e-29	2.62409201560365e-27	55.0631894294296
EIF3B	1.04730787467969	4.24786164720819	12.0719823692968	5.23630856977742e-29	2.72448016736672e-27	55.0183984166982
CSE1L	1.08391503135185	4.02677086357026	12.0719591696815	5.23740450122875e-29	2.72448016736672e-27	55.018191043244
DPH2	1.07410886296165	2.80164044104565	12.0696476273197	5.34775278491132e-29	2.77409058329896e-27	54.9975299170492
MCM6	1.63213124366168	2.68933407030285	12.0691723016626	5.37072920624437e-29	2.78211284392838e-27	54.9932815775096
BAX	1.30189795096686	4.11696011650386	12.0648889584972	5.58226301330634e-29	2.87775161763674e-27	54.9550017881831
PYGB	1.59672330378684	3.7653766960221	12.062521069421	5.70274115534849e-29	2.93358509599718e-27	54.9338430250557
RUSC1	1.23889167597085	2.08655957715177	12.0540309273505	6.15639593996944e-29	3.14945570199707e-27	54.8579940860424
GLMP	1.42050715731168	4.56000661414125	12.0308209215558	7.58836316386651e-29	3.829125270617e-27	54.6507731547681
