Abundance	risk	cell
0.11793685672307	Low	aDC
0.0843941970673275	Low	aDC
0.00151478093781107	Low	aDC
0.107675065858937	Low	aDC
0.00399894071284368	Low	aDC
0	Low	aDC
0.0272645578356637	Low	aDC
0.088629031153599	Low	aDC
1.0640581798091e-17	Low	aDC
0.230966262204298	Low	aDC
0.12259260653826	Low	aDC
0.112579682576198	Low	aDC
0.0048593599475076	Low	aDC
3.87861559665217e-18	Low	aDC
3.54554737545286e-18	Low	aDC
0.10358080810672	Low	aDC
0.158499063690785	Low	aDC
0.0227994900511604	Low	aDC
0.203862757858998	Low	aDC
0.152521407426004	Low	aDC
0.00934066092903552	Low	aDC
0	Low	aDC
0.102116547417375	Low	aDC
0.0797097183669359	Low	aDC
0.0466089700169278	Low	aDC
0.00416094630890545	Low	aDC
0	Low	aDC
2.41720818623903e-19	Low	aDC
0.172925946622686	Low	aDC
0.184519208569964	Low	aDC
0.0178414012237519	Low	aDC
0.116926073991899	Low	aDC
0.00936723789708563	Low	aDC
0	Low	aDC
5.8170219471172e-20	Low	aDC
2.47357751179766e-20	Low	aDC
0.145888260753549	Low	aDC
0.00343451091168272	Low	aDC
0.0530850011794537	Low	aDC
1.33271606728629e-20	Low	aDC
0.152219142096231	Low	aDC
0.0267047123851609	Low	aDC
0.0996045643227335	Low	aDC
0.160660573911948	Low	aDC
0	Low	aDC
0	Low	aDC
0.169278636019342	Low	aDC
0.0663309263542628	Low	aDC
0.105292871065633	Low	aDC
0.0960403758809251	Low	aDC
0.0260559778358318	Low	aDC
0.0564189456238938	Low	aDC
0.0514736526219215	Low	aDC
2.82941248406392e-18	Low	aDC
0.0951847568993697	Low	aDC
0.041861582619041	Low	aDC
6.37780210264996e-19	Low	aDC
1.17263875774332e-18	Low	aDC
2.50982980232345e-19	Low	aDC
0.00906760663951092	Low	aDC
5.35431396494598e-18	Low	aDC
0.126394852555958	Low	aDC
0.0294299474907818	Low	aDC
5.09038092856216e-18	Low	aDC
0.0273374476571892	Low	aDC
1.12552059204407e-17	Low	aDC
0.199165939992158	Low	aDC
0.118522214117617	Low	aDC
0.0754346699291756	Low	aDC
0.0109174175464075	Low	aDC
