Abundance	risk	cell
0.12340762094859	Low	Activated B cell
0.16924307192599	Low	Activated B cell
0.199286145846149	Low	Activated B cell
0.414034659505902	Low	Activated B cell
0.322951089870126	Low	Activated B cell
0.136040221876572	Low	Activated B cell
0.117986382726177	Low	Activated B cell
0.340236975897818	Low	Activated B cell
0.480494129615781	Low	Activated B cell
0.3660350452185	Low	Activated B cell
0.268570803533987	Low	Activated B cell
0.400750686295227	Low	Activated B cell
0.119495182784817	Low	Activated B cell
0.314891377703448	Low	Activated B cell
0.241249820093406	Low	Activated B cell
0.0996304073289875	Low	Activated B cell
0.16272049374346	Low	Activated B cell
0.419685351706918	Low	Activated B cell
0.0202654193265636	Low	Activated B cell
0.303087301895764	Low	Activated B cell
0.342113212867595	Low	Activated B cell
0.130547592359772	Low	Activated B cell
0.203541769008743	Low	Activated B cell
0.142969000468019	Low	Activated B cell
0.493291615226151	Low	Activated B cell
0.396080576623302	Low	Activated B cell
0.318760895695834	Low	Activated B cell
0.245028170716342	Low	Activated B cell
0.254974351564587	Low	Activated B cell
0.198355239836801	Low	Activated B cell
0.341983990569965	Low	Activated B cell
0.231768860195666	Low	Activated B cell
0.0480043425573923	Low	Activated B cell
0.0712169651631415	Low	Activated B cell
0.130253606145467	Low	Activated B cell
0.20980027431558	Low	Activated B cell
0.200900273907039	High	Activated B cell
0.402766092940358	High	Activated B cell
0.431410500278555	High	Activated B cell
0.466522750137033	High	Activated B cell
0.27398495445219	High	Activated B cell
0.266916402676421	High	Activated B cell
0.382959054720996	High	Activated B cell
0.116876787449255	High	Activated B cell
0.205341024291303	High	Activated B cell
0.208195796816105	High	Activated B cell
0.517699513288588	High	Activated B cell
0.128189210598456	High	Activated B cell
0.00397215832657892	High	Activated B cell
0.19732633396771	High	Activated B cell
0.256901993941172	High	Activated B cell
0.215223494175951	High	Activated B cell
0.120982662815299	High	Activated B cell
0.0339362895878852	High	Activated B cell
0.228688885010923	High	Activated B cell
0.309607154329733	High	Activated B cell
0.63301180786431	High	Activated B cell
0.324955090847461	High	Activated B cell
0.290553407995595	High	Activated B cell
0.315167350724694	High	Activated B cell
0.548387950820227	High	Activated B cell
0.347971264989207	High	Activated B cell
0.187612460881269	High	Activated B cell
0.233954556611282	High	Activated B cell
0.42923965852908	High	Activated B cell
0.456554129105438	High	Activated B cell
0.184609158669627	High	Activated B cell
0.199004389960064	High	Activated B cell
0.212955722961797	High	Activated B cell
0.373969767426392	High	Activated B cell
0.151981200184779	High	Activated B cell
0.033102843197203	High	Activated B cell
0.4560653372656	High	Activated B cell
0.148648954666317	High	Activated B cell
0.172287527493292	High	Activated B cell
0.311498296938314	High	Activated B cell
0.0362599478995463	High	Activated B cell
0.216408443618392	High	Activated B cell
0.232710939893334	High	Activated B cell
0.160571549160039	High	Activated B cell
0.167762331036181	High	Activated B cell
0.35612678248414	High	Activated B cell
0.268260352085884	High	Activated B cell
0.529311070748155	High	Activated B cell
0.204631087423319	High	Activated B cell
0.0268914633550822	High	Activated B cell
0.369102153596371	High	Activated B cell
0.135739081736974	High	Activated B cell
0.402680293911683	High	Activated B cell
0.318012928201212	High	Activated B cell
