Cell1	Cell2	cor	p.value
Regulatory T cell	Type 1 T helper cell	0.839852262253066	3.24892031097708e-95
T follicular helper cell	Type 1 T helper cell	0.786049209454534	7.89192684008452e-75
Type 1 T helper cell	Type 1 T helper cell	1	0
Type 17 T helper cell	Type 1 T helper cell	0.358280092584462	1.95580697833512e-12
Type 2 T helper cell	Type 1 T helper cell	0.502137992595049	1.3895678029172e-24
riskScore	Type 1 T helper cell	-0.102114359773827	0.0519058432991136
Activated B cell	Type 17 T helper cell	0.245181237647335	0.000138605309414193
Activated CD4 T cell	Type 17 T helper cell	0.277017056273711	6.39377696508985e-06
Activated CD8 T cell	Type 17 T helper cell	0.269441758643165	1.43411740485795e-05
Activated dendritic cell	Type 17 T helper cell	0.464032451727078	1.67692983346196e-18
CD56bright natural killer cell	Type 17 T helper cell	0.361891749636602	1.35534711350262e-10
CD56dim natural killer cell	Type 17 T helper cell	0.362924117570024	1.18592864267092e-10
Central memory CD4 T cell	Type 17 T helper cell	0.362547798760757	1.24620714181501e-10
Central memory CD8 T cell	Type 17 T helper cell	0.38496034352388	3.8979472146877e-12
Effector memeory CD4 T cell	Type 17 T helper cell	0.339174888396385	3.44250924329235e-09
Effector memeory CD8 T cell	Type 17 T helper cell	0.338182410256745	3.88598435176104e-09
Eosinophil	Type 17 T helper cell	0.229876100795237	0.000542564876380872
Gamma delta T cell	Type 17 T helper cell	0.200386002746626	0.00581596000995439
Immature  B cell	Type 17 T helper cell	0.277226791290076	6.32472562218461e-06
Immature dendritic cell	Type 17 T helper cell	0.361342073295865	1.46184939011413e-10
Macrophage	Type 17 T helper cell	0.435903373371982	4.86218688404888e-16
Mast cell	Type 17 T helper cell	0.261270121139534	3.20350629525976e-05
MDSC	Type 17 T helper cell	0.440926978596491	1.83944900322337e-16
Memory B cell	Type 17 T helper cell	0.0396584831542139	1
Monocyte	Type 17 T helper cell	0.257112049176339	4.59184260644053e-05
Natural killer cell	Type 17 T helper cell	0.491980395295313	3.36681081502471e-21
Natural killer T cell	Type 17 T helper cell	0.489485652469078	5.94141743534008e-21
Neutrophil	Type 17 T helper cell	0.452529640123814	1.80150791623298e-17
Plasmacytoid dendritic cell	Type 17 T helper cell	0.351682722099598	5.91927191693843e-10
Regulatory T cell	Type 17 T helper cell	0.388762417893508	2.1134743107366e-12
T follicular helper cell	Type 17 T helper cell	0.259127863597979	3.89454888125439e-05
Type 1 T helper cell	Type 17 T helper cell	0.358280092584462	2.30785223443544e-10
Type 17 T helper cell	Type 17 T helper cell	1	0
Type 2 T helper cell	Type 17 T helper cell	0.260928674539925	4.61128237657309e-07
riskScore	Type 17 T helper cell	0.0123063777006519	0.815242611181822
Activated B cell	Type 2 T helper cell	0.484014478740747	2.05613752584608e-20
Activated CD4 T cell	Type 2 T helper cell	0.725684160139208	4.93370853909777e-58
Activated CD8 T cell	Type 2 T helper cell	0.431994173581316	1.03069776118774e-15
Activated dendritic cell	Type 2 T helper cell	0.462664658294995	2.22699932893071e-18
CD56bright natural killer cell	Type 2 T helper cell	0.331599339886633	9.24654764576891e-09
CD56dim natural killer cell	Type 2 T helper cell	0.118929287688705	0.656397916320891
Central memory CD4 T cell	Type 2 T helper cell	0.535731220060703	5.87492095581969e-26
Central memory CD8 T cell	Type 2 T helper cell	0.443843198489105	1.03613480256203e-16
Effector memeory CD4 T cell	Type 2 T helper cell	0.547146223941804	2.57724469314923e-27
Effector memeory CD8 T cell	Type 2 T helper cell	0.481444973911071	3.63189707624235e-20
Eosinophil	Type 2 T helper cell	0.146874471585672	0.176707566134891
Gamma delta T cell	Type 2 T helper cell	0.391942562711021	1.2714167191353e-12
Immature  B cell	Type 2 T helper cell	0.52760298465974	5.05913107973637e-25
Immature dendritic cell	Type 2 T helper cell	0.381629169424247	6.59853237884054e-12
Macrophage	Type 2 T helper cell	0.470811207878009	3.86578542885331e-19
Mast cell	Type 2 T helper cell	0.450911971002378	2.49019978069921e-17
MDSC	Type 2 T helper cell	0.525242462208811	9.37256674711497e-25
Memory B cell	Type 2 T helper cell	0.383750603991689	4.72589884821302e-12
Monocyte	Type 2 T helper cell	0.332471646886514	8.28195878899724e-09
Natural killer cell	Type 2 T helper cell	0.455610687654887	9.68282687096936e-18
Natural killer T cell	Type 2 T helper cell	0.573937614369558	9.55556121331613e-31
Neutrophil	Type 2 T helper cell	0.284065256692077	2.95037283203355e-06
Plasmacytoid dendritic cell	Type 2 T helper cell	0.390067742403252	1.72129765460516e-12
Regulatory T cell	Type 2 T helper cell	0.524651641678262	1.08591315991181e-24
T follicular helper cell	Type 2 T helper cell	0.530281872823309	2.49498503318905e-25
Type 1 T helper cell	Type 2 T helper cell	0.502137992595049	3.04315348838866e-22
Type 17 T helper cell	Type 2 T helper cell	0.260928674539925	3.27401048736689e-05
Type 2 T helper cell	Type 2 T helper cell	1	0
riskScore	Type 2 T helper cell	0.312875973850359	1.09984019627286e-09
Activated B cell	riskScore	-0.0547739553264415	1
Activated CD4 T cell	riskScore	0.490705176290309	4.50486379959601e-21
Activated CD8 T cell	riskScore	-0.0956085601992182	1
Activated dendritic cell	riskScore	0.294739665156541	8.85315348572565e-07
CD56bright natural killer cell	riskScore	-0.10172298821219	1
CD56dim natural killer cell	riskScore	-0.002119176654586	1
Central memory CD4 T cell	riskScore	0.224422739490545	0.000825209567789748
Central memory CD8 T cell	riskScore	0.109675859048034	0.847346160015475
Effector memeory CD4 T cell	riskScore	0.197931902351792	0.00691908770558673
Effector memeory CD8 T cell	riskScore	-0.129169675126481	0.427295636380742
Eosinophil	riskScore	-0.317836608394117	5.38233261594114e-08
Gamma delta T cell	riskScore	-0.0114398409225129	1
Immature  B cell	riskScore	0.00514202020982533	1
Immature dendritic cell	riskScore	0.0735688219364764	1
Macrophage	riskScore	-0.00366659959829222	1
Mast cell	riskScore	-0.111219769682854	0.847346160015475
MDSC	riskScore	0.120214792741161	0.637252050122666
Memory B cell	riskScore	0.117684174188443	0.67352387038798
Monocyte	riskScore	-0.000823887313088719	1
Natural killer cell	riskScore	-0.111378576220364	0.847346160015475
Natural killer T cell	riskScore	0.107234302613509	0.905480830855073
Neutrophil	riskScore	-0.0720949066001803	1
Plasmacytoid dendritic cell	riskScore	0.147853904006591	0.171377332869748
Regulatory T cell	riskScore	0.092435189120272	1
T follicular helper cell	riskScore	0.11725316371223	0.67352387038798
Type 1 T helper cell	riskScore	-0.102114359773827	1
Type 17 T helper cell	riskScore	0.0123063777006519	1
Type 2 T helper cell	riskScore	0.312875973850359	1.01185298057103e-07
riskScore	riskScore	1	0
