Cell1	Cell2	cor	p.value
Immature dendritic cell	Activated dendritic cell	0.523083395760443	6.94512706177154e-27
Macrophage	Activated dendritic cell	0.662971884970881	2.5902429421112e-47
Mast cell	Activated dendritic cell	0.498697936919936	3.20524171493607e-24
MDSC	Activated dendritic cell	0.736442362258535	3.03031157843873e-63
Memory B cell	Activated dendritic cell	0.16766332612641	0.00134536698539131
Monocyte	Activated dendritic cell	0.443136220886095	6.82722220504774e-19
Natural killer cell	Activated dendritic cell	0.568592883761141	1.78801784258602e-32
Natural killer T cell	Activated dendritic cell	0.682244676468685	4.87902253536584e-51
Neutrophil	Activated dendritic cell	0.481998915198313	1.62443045916021e-22
Plasmacytoid dendritic cell	Activated dendritic cell	0.663963359593696	1.69228307342255e-47
Regulatory T cell	Activated dendritic cell	0.725349989036579	1.64939326290486e-60
T follicular helper cell	Activated dendritic cell	0.636492588275612	1.26323131279619e-42
Type 1 T helper cell	Activated dendritic cell	0.635254750272329	2.03932318426868e-42
Type 17 T helper cell	Activated dendritic cell	0.464032451727078	8.7797373479684e-21
Type 2 T helper cell	Activated dendritic cell	0.462664658294995	1.17830652324376e-20
riskScore	Activated dendritic cell	0.294739665156541	1.0415474689089e-08
Activated B cell	CD56bright natural killer cell	0.459650595511972	4.21662957052701e-18
Activated CD4 T cell	CD56bright natural killer cell	0.24621084590949	0.000127336147191422
Activated CD8 T cell	CD56bright natural killer cell	0.480008690455702	5.01161115863128e-20
Activated dendritic cell	CD56bright natural killer cell	0.444327144477823	9.45058571187983e-17
CD56bright natural killer cell	CD56bright natural killer cell	1	0
CD56dim natural killer cell	CD56bright natural killer cell	0.420033507426777	6.00212318119282e-17
Central memory CD4 T cell	CD56bright natural killer cell	0.379222736078587	7.34616401844139e-14
Central memory CD8 T cell	CD56bright natural killer cell	0.428822558656813	1.13817094392693e-17
Effector memeory CD4 T cell	CD56bright natural killer cell	0.391097601544613	1.02591998745773e-14
Effector memeory CD8 T cell	CD56bright natural killer cell	0.544231007566015	2.24027183298691e-29
Eosinophil	CD56bright natural killer cell	0.319275651520755	4.79328844712748e-10
Gamma delta T cell	CD56bright natural killer cell	0.329518296871386	1.21716265393759e-10
Immature  B cell	CD56bright natural killer cell	0.453526132330753	8.13540508026121e-20
Immature dendritic cell	CD56bright natural killer cell	0.377111085800187	1.03392646199938e-13
Macrophage	CD56bright natural killer cell	0.535609543645706	2.43910401402137e-28
